[2024-03-10T21:06:09.341516300] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T01:49:48.071841800] User: users, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T01:49:48.288043800] User: users, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T02:28:36.632151200] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:28:38.665714400] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:29:50.892351800] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:29:51.782344200] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:29:53.038442400] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:33:02.600837900] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:33:03.884267200] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:33:12.600677300] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:33:12.887049800] User: albums, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:34:35.131935100] User: albums, Access Granted: NO No static resource api/albums/get/1., RequestUrl: uri=/api/albums/get/1, Method: ERROR
[2024-03-12T02:34:40.351936500] User: albums, Access Granted: NO Access Denied, RequestUrl: uri=/api/posts/1, Method: ERROR
[2024-03-12T02:35:45.084684700] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui, Method: ERROR
[2024-03-12T02:39:07.509242300] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-12T02:41:11.818780400] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:12.711280500] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:19.919695200] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:20.281769200] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:45.374049900] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:46.113837400] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:41:47.232405300] User: admin, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:42:21.560424600] User: user, Access Granted: NO No static resource swagger-ui., RequestUrl: uri=/swagger-ui/, Method: ERROR
[2024-03-12T02:56:45.184388800] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T02:58:27.164981800] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T02:59:36.407326100] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:00:33.104829500] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: PUT
[2024-03-12T03:00:44.887601100] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:01:56.436573900] User: albums, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:02:06.171293700] User: albums, Access Granted: NO Access Denied, RequestUrl: uri=/api/users/1, Method: ERROR
[2024-03-12T03:02:12.321041300] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:02:33.592070600] User: posts, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:02:59.061182900] User: posts, Access Granted: NO Access Denied, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:03:01.789961300] User: posts, Access Granted: NO Access Denied, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:03:15.235956] User: posts, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:03:26.780297800] User: admin, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:03:33.161881900] User: admin, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:04:01.296251300] User: admin, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:04:09.833453] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:04:13.124048600] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:04:36.483620700] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:05:15.301422300] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:05:32.793221900] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:06:25.678505100] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:06:28.963147200] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:06:31.862148] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:06:43.111800200] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: PUT
[2024-03-12T03:06:58.177872400] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:08:42.315419800] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:12:18.408768900] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:18:21.173129700] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:18:57.577646100] User: users, Access Granted: YES, RequestUrl: /api/users/2, Method: GET
[2024-03-12T03:25:11.019624900] User: admin, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:25:27.901145400] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:25:48.455681] User: admin, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:25:55.147215900] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:26:09.273181300] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:26:26.170048700] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: PUT
[2024-03-12T03:26:44.491848300] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:29:35.386652300] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:29:35.399641400] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/Request method 'POST' is not supported, Method: ERROR
[2024-03-12T03:29:57.618174900] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:29:57.631174500] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/Request method 'POST' is not supported, Method: ERROR
[2024-03-12T03:30:27.360539900] User: admin, Access Granted: NO Request method 'POST' is not supported, RequestUrl: uri=/api/albums/1, Method: ERROR
[2024-03-12T03:47:17.780704900] User: albums, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
[2024-03-12T03:49:18.034899700] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:49:18.672109100] User: albums, Access Granted: YES, RequestUrl: /api/albums/10, Method: GET
[2024-03-12T03:49:21.588145100] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T03:49:26.407513200] User: albums, Access Granted: NO Access Denied, RequestUrl: uri=/api/users/2, Method: ERROR
[2024-03-12T03:49:34.666701900] User: albums, Access Granted: NO No static resource ., RequestUrl: uri=/, Method: ERROR
